threshold,accuracy,precision,recall,f1,f2
0.05,0.2519079073943436,0.2519079073943436,1.0,0.40243839967214795,0.6273758185593356
0.1,0.2519079073943436,0.2519079073943436,1.0,0.40243839967214795,0.6273758185593356
0.15,0.27454627076252164,0.2514474215699475,0.9508655804480651,0.39772122244702374,0.6109729765098475
0.2,0.42185596100814465,0.28221594314581727,0.8391038696537678,0.42237457551098867,0.6016574787338907
0.21,0.4390431603924838,0.2877279534842745,0.8314663951120163,0.42751488971791346,0.60340686546207
0.22,0.4564868851407683,0.2935996368588289,0.8233197556008147,0.4328448102790604,0.605006173532383
0.23,0.47617520682357467,0.3012375773485843,0.8179735234215886,0.44031793887899134,0.6090302524831299
0.24,0.48880908099788367,0.3057930636948794,0.810336048879837,0.4440259468508056,0.6092798897438843
0.25,0.501507086513179,0.31083341533011905,0.8042260692464358,0.44837130083031723,0.6104347826086957
0.26,0.5116398383890207,0.3147422369611094,0.7973523421588594,0.45132934649470424,0.6102170439932978
0.27,0.520554094786122,0.3181258970678696,0.789969450101833,0.45358865662914777,0.6092436974789915
0.28,0.5355608285769256,0.3251002744352966,0.7841140529531568,0.4596328906133413,0.6114508060033352
0.29,0.549413198229975,0.33144722524483133,0.7754582484725051,0.4644000609849062,0.6115974620512409
0.3,0.5669210543192458,0.3397254056507432,0.7622199592668024,0.4699788085707558,0.6103975535168196
0.31,0.587314820752902,0.3500059830082565,0.744653767820774,0.47619047619047616,0.6076280693007603
0.32,0.6122619123965882,0.36433512682551883,0.7240325865580448,0.48474518493267427,0.6046432519772089
0.33,0.6441993202077856,0.3868082727780883,0.7046843177189409,0.49945867917719233,0.6052125240510757
0.34,0.6831911755274803,0.4212818917237088,0.6894093686354379,0.5229818462726922,0.6115627822944896
0.35,0.7229526069390111,0.465235899255055,0.6677698574338086,0.5484005854066486,0.6142857142857143
0.36,0.7569422176617713,0.5139676113360324,0.6463849287169042,0.5726206585475868,0.6147104396668603
0.37,0.7877252613352145,0.571560907827698,0.6283095723014257,0.5985932573368906,0.6160758861707439
0.38,0.8113255948181877,0.6295323173935891,0.609979633401222,0.6196017584690975,0.6137923967619633
0.39,0.8253703584941962,0.6750944492879977,0.5913951120162932,0.6304790337902022,0.6064324126768652
0.4,0.8334509074584749,0.7096062992125984,0.5735743380855397,0.6343798395044348,0.5964419971408905
0.41,0.8392227281472455,0.7377049180327869,0.5613543788187373,0.6375596356802082,0.5895406662745307
0.42,0.8415314564227538,0.7542757417102967,0.550152749490835,0.6362431915206831,0.5816332023469882
0.43,0.8421727698326172,0.7672131147540984,0.5361507128309573,0.6312003596583246,0.5705152516660346
0.44,0.843840184698262,0.7845977887914601,0.5239307535641547,0.6283010227446192,0.5612217071175347
0.45,0.8433271339703713,0.7952286282306164,0.5091649694501018,0.6208288064566196,0.5486366379546826
0.46,0.8410184056948631,0.8002486531288852,0.4915987780040733,0.6090521999684593,0.5326896551724138
0.47,0.8394151221702045,0.8071613459879207,0.4763238289205703,0.5991034261927634,0.5188574597892401
0.48,0.8367857371897647,0.8119079837618404,0.45824847250509165,0.5858421480878763,0.5019800323498244
0.49,0.8348617969601745,0.8180535966149506,0.4429735234215886,0.5747316267547481,0.4876954986266046
0.5,0.8351824536651061,0.8325171400587659,0.43279022403258655,0.5695142378559463,0.4787653486538245
0.55,0.8286410568844994,0.9441301272984441,0.339867617107943,0.4998128041931861,0.38975826229125304
0.6,0.8082472904508433,0.9625246548323472,0.2484725050916497,0.39498178874949413,0.2917613296663877
0.65,0.7836208555120887,0.9616666666666667,0.14689409368635437,0.25485865724381623,0.17686365865620401
0.7,0.7650227666260502,1.0,0.06720977596741344,0.12595419847328243,0.08262393590385578
0.75,0.7552106714551401,1.0,0.028258655804480653,0.05496410002475861,0.03507552297288757
0.8,0.7480920926056563,0.0,0.0,0.0,0.0
0.85,0.7480920926056563,0.0,0.0,0.0,0.0
0.9,0.7480920926056563,0.0,0.0,0.0,0.0
0.95,0.7480920926056563,0.0,0.0,0.0,0.0
