split_num,train_end,test_start,test_end,n_train,n_test,positive_rate,source,name,accuracy,precision,recall,f1,auc,imputation_method
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,lstm,0.9428341384863124,0.0,0.0,0.0,0.8787331160318014,hybrid_adaptive
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,gru,0.9452495974235104,1.0,0.04225352112676056,0.08108108108108109,0.6348597563175811,hybrid_adaptive
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,transformer,0.9428341384863124,0.0,0.0,0.0,0.5463459664906605,hybrid_adaptive
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,xgboost,0.8035426731078905,0.12554112554112554,0.4084507042253521,0.19205298013245034,0.654386824791619,hybrid_adaptive
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,ensemble,soft_vote,0.9428341384863124,0.0,0.0,0.0,0.7591711670535597,hybrid_adaptive
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,ensemble,weighted_avg,0.9428341384863124,0.0,0.0,0.0,0.7733007781960766,hybrid_adaptive
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,ensemble,stacked,0.8687600644122383,0.16666666666666666,0.323943661971831,0.22009569377990432,0.7637146534200936,hybrid_adaptive
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,lstm,0.8239520958083832,0.7383177570093458,0.16056910569105692,0.2637729549248748,0.38664130307472966,hybrid_adaptive
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,gru,0.8219560878243513,0.96,0.0975609756097561,0.17712177121771217,0.4974717183833537,hybrid_adaptive
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,transformer,0.8027944111776447,0.0,0.0,0.0,0.5024172149322089,hybrid_adaptive
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,xgboost,0.7884231536926147,0.44692737430167595,0.3252032520325203,0.3764705882352941,0.6042264912216931,hybrid_adaptive
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,ensemble,soft_vote,0.8159680638722555,0.9696969696969697,0.06504065040650407,0.1219047619047619,0.5168185251152064,hybrid_adaptive
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,ensemble,weighted_avg,0.8131736526946107,0.9615384615384616,0.0508130081300813,0.09652509652509653,0.5232533249326532,hybrid_adaptive
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,ensemble,stacked,0.7852295409181637,0.42333333333333334,0.258130081300813,0.3207070707070707,0.4955765168680003,hybrid_adaptive
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,model,lstm,0.7031502423263328,0.7333333333333333,0.09821428571428571,0.1732283464566929,0.7554963031311817,hybrid_adaptive
