overall_rank,rank,model,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_splits,notes,imputation_method
1,1,Transformer,0.8451,0.1636,0.8219,0.1611,0.5853,0.3218,0.5738,0.3517,0.5684,0.313,6,hybrid_adaptive scenario from transformer_summary.csv,hybrid_adaptive
2,2,Ensemble (weighted_avg),0.7539,0.1976,0.8108,0.1829,0.6354,0.3944,0.3441,0.3675,0.4033,0.3847,6,"Best ensemble strategy by AUC, then F1, then Recall across 6 common splits",hybrid_adaptive
3,3,XGBoost (Hybrid: Gap-Type Adaptive),0.7287,0.182,0.4535,0.1354,0.2773,0.1384,0.8384,0.2343,0.3921,0.174,6,Hybrid-adaptive XGBoost notebook evaluation across 6 temporal splits,hybrid_adaptive
4,4,LSTM,0.6826,0.2282,0.7357,0.1937,0.4521,0.2675,0.3912,0.4161,0.5709,0.1911,6,Splits 1-6 of 6 rolling-origin yearly splits,hybrid_adaptive
5,5,GRU,0.6738,0.2209,0.7572,0.1658,0.4157,0.3188,0.4045,0.4359,0.5904,0.183,6,Splits 1-6 of 6 rolling-origin yearly splits,hybrid_adaptive
