mask_type,split_num,method,method_name,variable,location,rmse,mae,r2,missing_count
block_14day,0,cross_location_knn,Cross-Location KNN,precip_mm_day,Gigantes Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,precip_mm_day,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,wind_speed_ms,Gigantes Polygon,,,,56
block_14day,0,cross_location_knn,Cross-Location KNN,wind_speed_ms,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,wind_u_ms,Gigantes Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,wind_u_ms,Roxas Polygon,,,,56
block_14day,0,cross_location_knn,Cross-Location KNN,wind_v_ms,Gigantes Polygon,,,,56
block_14day,0,cross_location_knn,Cross-Location KNN,wind_v_ms,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,CHL,Gigantes Polygon,1.4881343603907453,1.041792265,-38.17207542286757,56
block_14day,0,distance_weighted,Distance-Weighted Average,CHL,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,mlotst,Gigantes Polygon,6.338882993237778,5.565540945556547,-3.364610189750004,56
block_14day,0,distance_weighted,Distance-Weighted Average,mlotst,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,no3,Gigantes Polygon,0.013984715351743053,0.005506125417857143,-3.6407641903053936,56
block_14day,0,distance_weighted,Distance-Weighted Average,no3,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,o2,Gigantes Polygon,1.2696633713065462,1.0779966071428586,0.22708671072204445,56
block_14day,0,distance_weighted,Distance-Weighted Average,o2,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,po4,Gigantes Polygon,0.008840737572443877,0.005043886013477273,0.8835478049010317,56
block_14day,0,distance_weighted,Distance-Weighted Average,po4,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,so,Gigantes Polygon,0.4165626122115367,0.35860688153232606,0.46508707735768673,56
block_14day,0,distance_weighted,Distance-Weighted Average,so,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,thetao,Gigantes Polygon,0.5551366355112112,0.4792735718323717,-1.3730381339427908,56
block_14day,0,distance_weighted,Distance-Weighted Average,thetao,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,uo,Gigantes Polygon,0.06224195571058874,0.05739114696293006,0.6838209387644368,56
block_14day,0,distance_weighted,Distance-Weighted Average,uo,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,vo,Gigantes Polygon,0.08579086691214619,0.06660664686933156,-0.9592417531624606,56
block_14day,0,distance_weighted,Distance-Weighted Average,vo,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,NDVI_daily,Gigantes Polygon,0.1288736952723954,0.11298732345539013,0.5470427730252574,56
block_14day,0,distance_weighted,Distance-Weighted Average,NDVI_daily,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,NDVI_raw,Gigantes Polygon,0.3058396202230823,0.3058396202230823,,56
block_14day,0,distance_weighted,Distance-Weighted Average,NDVI_raw,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,precip_mm_day,Gigantes Polygon,6.275228955483393,4.447828199401271,0.361627074350111,56
block_14day,0,distance_weighted,Distance-Weighted Average,precip_mm_day,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,wind_speed_ms,Gigantes Polygon,1.9597237474973492,1.703167838293765,0.2383740747182873,56
block_14day,0,distance_weighted,Distance-Weighted Average,wind_speed_ms,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,wind_u_ms,Gigantes Polygon,1.5135803558737249,1.4044826356646993,0.7503059194906734,56
block_14day,0,distance_weighted,Distance-Weighted Average,wind_u_ms,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,wind_v_ms,Gigantes Polygon,1.512909262320234,1.2199240406307799,0.7857681270171708,56
block_14day,0,distance_weighted,Distance-Weighted Average,wind_v_ms,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,CHL,Gigantes Polygon,1.4881343603907453,1.041792265,-38.17207542286757,56
block_14day,0,advection,Advection-Based,CHL,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,mlotst,Gigantes Polygon,6.338882993237778,5.565540945556547,-3.364610189750004,56
block_14day,0,advection,Advection-Based,mlotst,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,no3,Gigantes Polygon,0.018331272012024877,0.006871824045454547,-6.920119599276002,56
block_14day,0,advection,Advection-Based,no3,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,o2,Gigantes Polygon,1.2696633713065462,1.0779966071428586,0.22708671072204445,56
block_14day,0,advection,Advection-Based,o2,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,po4,Gigantes Polygon,0.008840737572443877,0.005043886013477273,0.8835478049010317,56
block_14day,0,advection,Advection-Based,po4,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,so,Gigantes Polygon,0.4165626122115367,0.35860688153232606,0.46508707735768673,56
block_14day,0,advection,Advection-Based,so,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,thetao,Gigantes Polygon,0.5551366355112112,0.4792735718323717,-1.3730381339427908,56
block_14day,0,advection,Advection-Based,thetao,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,uo,Gigantes Polygon,0.06224195571058874,0.05739114696293006,0.6838209387644368,56
block_14day,0,advection,Advection-Based,uo,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,vo,Gigantes Polygon,0.08579086691214619,0.06660664686933156,-0.9592417531624606,56
block_14day,0,advection,Advection-Based,vo,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,NDVI_daily,Gigantes Polygon,0.1288736952723954,0.11298732345539013,0.5470427730252574,56
block_14day,0,advection,Advection-Based,NDVI_daily,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,NDVI_raw,Gigantes Polygon,0.3058396202230823,0.3058396202230823,,56
block_14day,0,advection,Advection-Based,NDVI_raw,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,precip_mm_day,Gigantes Polygon,6.275228955483393,4.447828199401271,0.361627074350111,56
block_14day,0,advection,Advection-Based,precip_mm_day,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,wind_speed_ms,Gigantes Polygon,,,,0
block_14day,0,advection,Advection-Based,wind_speed_ms,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,wind_u_ms,Gigantes Polygon,1.5135803558737249,1.4044826356646993,0.7503059194906734,56
block_14day,0,advection,Advection-Based,wind_u_ms,Roxas Polygon,,,,0
block_14day,0,advection,Advection-Based,wind_v_ms,Gigantes Polygon,1.512909262320234,1.2199240406307799,0.7857681270171708,56
block_14day,0,advection,Advection-Based,wind_v_ms,Roxas Polygon,,,,0
block_14day,0,eof_pca,EOF/PCA Spatial Modes,CHL,Gigantes Polygon,0.5469799038769215,0.4356646365178816,-4.2921852040407185,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,CHL,Roxas Polygon,2.2027887260047105,1.757324941967834,-5.292414594702387,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,mlotst,Gigantes Polygon,1.2730480229076544,0.90571059599886,0.8239607275588143,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,mlotst,Roxas Polygon,0.0,0.0,1.0,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,no3,Gigantes Polygon,0.018977399297725652,0.014454502260450534,-7.545857175165255,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,no3,Roxas Polygon,0.12750611523643962,0.09155388089133377,-29.078550926233007,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,o2,Gigantes Polygon,1.110087438907633,0.9542169977426381,0.4091626114366377,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,o2,Roxas Polygon,1.2874850586667006,1.1125734659436226,0.7687624687552322,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,po4,Gigantes Polygon,0.02263857311067076,0.016270221557400544,0.11305890010274244,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,po4,Roxas Polygon,0.022234905989225017,0.017502347912895837,0.6426385651180166,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,so,Gigantes Polygon,0.4737636352958661,0.3414745719785818,0.32351148536897745,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,so,Roxas Polygon,0.7841255215991656,0.6092299173132159,-0.3859477920176466,56
