split_num,train_end,test_start,test_end,n_train,n_test,positive_rate,source,name,accuracy,precision,recall,f1,auc
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,lstm,0.9420289855072463,0.475,0.13380281690140844,0.2087912087912088,0.9205040232857434
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,gru,0.9335748792270532,0.31746031746031744,0.14084507042253522,0.1951219512195122,0.9203642005749271
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,transformer,0.8643317230273752,0.2875816993464052,0.9295774647887324,0.43926788685524126,0.9343404577765483
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,xgboost,0.9219001610305958,0.19767441860465115,0.11971830985915492,0.14912280701754385,0.7743291516820823
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,ensemble,soft_vote,0.9492753623188406,0.7105263157894737,0.19014084507042253,0.3,0.9167258031536787
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,ensemble,weighted_avg,0.9541062801932367,0.9117647058823529,0.21830985915492956,0.3522727272727273,0.9204694434755415
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,ensemble,stacked,0.7902576489533011,0.20801232665639446,0.9507042253521126,0.3413400758533502,0.9205927280162615
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,lstm,0.8538922155688623,0.8841463414634146,0.29471544715447157,0.4420731707317073,0.9681915112742782
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,gru,0.8211576846307386,0.7291666666666666,0.14227642276422764,0.23809523809523808,0.958602417618811
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,transformer,0.8035928143712575,0.0,0.0,0.0,0.45082169152540996
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,xgboost,0.8167664670658683,0.6037735849056604,0.1951219512195122,0.29493087557603687,0.5786049216676966
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,ensemble,soft_vote,0.8327345309381238,0.9101123595505618,0.16463414634146342,0.27882960413080893,0.937474505147436
