metric,hybrid_adaptive,native_masking,delta_hybrid_minus_native
accuracy,0.821878,0.719934,0.10194400000000003
precision,0.585307,0.316568,0.268739
recall,0.573784,0.461421,0.11236299999999994
f1,0.568357,0.347447,0.22091
auc,0.845073,0.721649,0.12342399999999998
