rank_auc,scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,n_splits
1,hybrid_adaptive,0.821878,0.161135,0.585307,0.321815,0.573784,0.351687,0.568357,0.313035,0.845073,0.163571,6
2,native_masking,0.719934,0.152526,0.316568,0.351212,0.461421,0.415668,0.347447,0.383676,0.721649,0.182916,6
