accuracy,precision,recall,f1,auc,train_samples,test_samples,positive_rate_test,threshold,scenario,split_num,train_end,test_start,test_end,train_time_sec
0.972176759410802,0.0,0.0,0.0,0.8573479897009308,11981,2444,0.027823240589198037,0.5,hybrid_adaptive,1,2019-12-31,2020-01-01,2020-12-31,97.45
0.9295473953885568,0.7294520547945206,0.9838337182448037,0.8377581120943953,0.9611152714079533,14425,2342,0.18488471391972672,0.16601546108722687,hybrid_adaptive,2,2020-12-31,2021-01-01,2021-12-31,118.83
0.6730597680642284,0.5749354005167958,0.5241460541813898,0.5483672211953173,0.7171521413224629,16767,2242,0.37867975022301514,0.15178436040878296,hybrid_adaptive,3,2021-12-31,2022-01-01,2022-12-31,150.7
0.5703238279362011,0.5278858625162127,0.4366952789699571,0.47798003523194366,0.5822830202211225,19009,2069,0.45045915901401645,0.19521550834178925,hybrid_adaptive,4,2022-12-31,2023-01-01,2023-12-31,111.84
0.8991494532199271,0.7360114777618364,0.8875432525951558,0.8047058823529412,0.9637538220563989,21078,2469,0.2341028756581612,0.23636049032211304,hybrid_adaptive,5,2023-12-31,2024-01-01,2024-12-31,379.8
0.887012664514527,0.9435600578871202,0.6104868913857678,0.7413303013075612,0.9887865117909812,23547,4027,0.26520983362304446,0.3506588935852051,hybrid_adaptive,6,2024-12-31,2025-01-01,2026-12-31,376.78
0.5912438625204582,0.03403403403403404,0.5,0.06373008434864105,0.5416109625668449,11981,2444,0.027823240589198037,0.18634924292564392,native_masking,1,2019-12-31,2020-01-01,2020-12-31,164.47
0.8151152860802733,0.0,0.0,0.0,0.6127266370432025,14425,2342,0.18488471391972672,0.5,native_masking,2,2020-12-31,2021-01-01,2021-12-31,127.07
0.6213202497769849,0.0,0.0,0.0,0.6636717154677984,16767,2242,0.37867975022301514,0.5,native_masking,3,2021-12-31,2022-01-01,2022-12-31,95.18
0.5563073948767521,0.5089743589743589,0.4259656652360515,0.463785046728972,0.6122230778232001,19009,2069,0.45045915901401645,0.19116127490997314,native_masking,4,2022-12-31,2023-01-01,2023-12-31,142.49
0.7954637505062778,0.5405105438401776,0.842560553633218,0.658553076402975,0.9077340489186623,21078,2469,0.2341028756581612,0.20787599682807922,native_masking,5,2023-12-31,2024-01-01,2024-12-31,426.54
0.9401539607648374,0.8158899923605806,1.0,0.8986116954143879,0.9919271238764995,23547,4027,0.26520983362304446,0.25344565510749817,native_masking,6,2024-12-31,2025-01-01,2026-12-31,296.81
