Gap Pattern,Best Method,RMSE,MAE,R²,Source
block_7day,Spatial Kriging,0.847935562640698,0.6338504255328221,-50.038467507290044,Task 3
block_14day,Spatial Kriging,0.8757931758904295,0.6705766381216358,0.03212747266085037,Task 3
random_10,Spatial Kriging,0.8882086253862553,0.6363954602171891,-1.3361490101340314,Task 3
random_20,Spatial Kriging,0.8767438877941631,0.6045334472036376,0.5598844431706681,Task 3
seasonal,Spatial Kriging,0.9384198472905609,0.636145537606631,-0.04584962259796726,Task 3
cross_variable,Climatological Substitution,0.1809,0.1225,0.3405,Task 2
rolling_origin,Advection-Based,0.01149975814931515,0.011236098349999949,-93.2490934020357,Task 3
rolling_origin_180,Advection-Based,0.014273818796155375,0.014140154749999974,-8133.997869059679,Task 3
