mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9689597129821778,0.021317458919968654,0.03223752975463867,0.004711318022748482,0.6,100,200,7,3,0.05,0.3,0.8,"{'subsample': 0.6, 'scale_pos_weight': 100, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.9175908686149113,0.9189465819183018,0.9129896316312014,0.9307170385724001,0.9261697622826053,0.9212827766038838,0.006336437037650243,30
1.0368423461914062,0.015171332284917446,0.03370537757873535,0.0007911418616809141,0.8,5,200,5,4,0.05,0.4,0.9,"{'subsample': 0.8, 'scale_pos_weight': 5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.4, 'colsample_bytree': 0.9}",0.9174552740225047,0.9186620403066499,0.918954770166119,0.9319618972050392,0.9279844220617288,0.9230036807524084,0.005849542921271862,13
2.903799819946289,0.0871366151959145,0.08458542823791504,0.004036589527388469,0.6,50,500,3,5,0.2,0.2,0.6,"{'subsample': 0.6, 'scale_pos_weight': 50, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.6}",0.9008540435521736,0.9025618980358441,0.9033643463219414,0.9095848042232082,0.9018484632574408,0.9036427110781217,0.003083832243395232,50
1.9564068794250489,0.018536409718845768,0.052322673797607425,0.0027421546077208542,0.6,100,300,7,5,0.2,0.2,1.0,"{'subsample': 0.6, 'scale_pos_weight': 100, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 1.0}",0.9048571197280012,0.9130878906050091,0.9054359730197235,0.9301806360721572,0.9094572821193769,0.9126037803088536,0.00927867322032888,47
0.3076570987701416,0.014108882525860691,0.015673494338989256,0.001886448582413085,0.6,50,50,1,3,0.1,0.4,0.6,"{'subsample': 0.6, 'scale_pos_weight': 50, 'n_estimators': 50, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.6}",0.9169270622520845,0.9152004585418777,0.9094717556626851,0.9245858567866049,0.9305621903034621,0.9193494647093429,0.007399951879422572,37
1.2592485904693604,0.04819995871020299,0.039480972290039065,0.004347119571309125,0.9,50,300,1,3,0.05,0.3,0.9,"{'subsample': 0.9, 'scale_pos_weight': 50, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.9}",0.9211284708168056,0.9200223129753022,0.9189302054226671,0.9289944780904881,0.9337745328237846,0.9245700000258095,0.005807448564477076,2
1.932852077484131,0.04853590426533486,0.08571743965148926,0.008962744048768864,1.0,5,500,3,5,0.05,0.2,1.0,"{'subsample': 1.0, 'scale_pos_weight': 5, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 1.0}",0.9169655144499311,0.9148381285759614,0.9197715478858968,0.9336277811963598,0.9295511221945137,0.9229508188605327,0.007339058594838159,14
1.6983864784240723,0.03975862995766705,0.05530791282653809,0.006621115100439445,0.8,20,200,3,8,0.05,0.3,0.8,"{'subsample': 0.8, 'scale_pos_weight': 20, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.9171597992390512,0.9192311235299536,0.9209915968106775,0.9356924247822004,0.9296300644492664,0.92454100176223,0.00700753918922756,4
1.4193553924560547,0.055809131466043396,0.051755666732788086,0.006710781851845929,1.0,5,200,1,8,0.1,0.2,1.0,"{'subsample': 1.0, 'scale_pos_weight': 5, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 1.0}",0.9164636120780378,0.9185535460230704,0.9233968946070152,0.934121676328659,0.9302312400816142,0.9245533938236793,0.006731570410900784,3
1.0551325321197509,0.004615033692222593,0.04369668960571289,0.001966007545144275,1.0,20,300,1,4,0.1,0.2,0.9,"{'subsample': 1.0, 'scale_pos_weight': 20, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.9}",0.9146179065813973,0.9180642982159856,0.9181031923931179,0.9309477928555235,0.93049438093079,0.9224455141953628,0.0068759763116244535,20
