split,train_period,test_period,train_rows,test_rows,train_time_seconds,accuracy,precision,recall,f1_score,auc_roc,positive_rate_train,positive_rate_test
Split 1,2015-01-01 to 2019-12-31,2020-01-01 to 2020-12-31,12644,2484,0.8135199999960605,0.9400161030595813,0.4631578947368421,0.30985915492957744,0.37130801687763715,0.9218496289436018,0.09664663081303385,0.0571658615136876
Split 2,2015-01-01 to 2020-12-31,2021-01-01 to 2021-12-31,15128,2505,0.42777080000087153,0.7920159680638723,0.36936936936936937,0.08333333333333333,0.13598673300165837,0.5705465288632021,0.09016393442622951,0.19640718562874251
Split 3,2015-01-01 to 2021-12-31,2022-01-01 to 2022-12-31,17633,2476,0.5280443999945419,0.7043618739903069,0.7549019607843137,0.09821428571428571,0.17381489841986456,0.660368646572104,0.10525718822662054,0.3166397415185784
Split 4,2015-01-01 to 2022-12-31,2023-01-01 to 2023-12-31,20109,2504,0.5777433000039309,0.6421725239616614,0.7509293680297398,0.1959262851600388,0.31076923076923074,0.6844210993485716,0.13128449947784573,0.41174121405750796
Split 5,2015-01-01 to 2023-12-31,2024-01-01 to 2024-12-31,22613,2520,0.7087414999987232,0.8099206349206349,0.6565934065934066,0.403035413153457,0.4994775339602926,0.8093717484123283,0.16234024676071288,0.23531746031746031
Split 6,2015-01-01 to 2024-12-31,2025-01-01 to 2025-12-31,25133,2526,0.7144445000012638,0.8499604117181314,0.7040816326530612,0.6688206785137318,0.6859983429991715,0.8869457224594705,0.16965742251223492,0.24505146476642914
