metric,mean,std,min,max
accuracy,0.7897412526190314,0.1055342859648382,0.6421725239616614,0.9400161030595813
precision,0.6165056053611221,0.161920802259727,0.36936936936936937,0.7549019607843137
recall,0.29319819180073736,0.2213403992429358,0.08333333333333333,0.6688206785137318
f1_score,0.3628924593379758,0.20643501636987502,0.13598673300165837,0.6859983429991715
auc_roc,0.7555838957665464,0.13868112420726814,0.5705465288632021,0.9218496289436018
train_time_seconds,1.089403149999877,0.28870586775938034,0.7660749000006035,1.524434699998892
