split,train_end,test_years,threshold,accuracy,precision,recall,f1_macro,f1_weighted,auc_roc
1,2019,[2020],0.5,0.9337152209492635,0.08771929824561403,0.14705882352941177,0.5377329852467974,0.9417679100926382,0.6266401762725292
2,2020,[2021],0.5,0.827070879590094,0.7333333333333333,0.10161662817551963,0.5409316689922334,0.7693478262893898,0.40302590016658657
3,2021,[2022],0.5,0.6213202497769849,0.0,0.0,0.38321870701513067,0.47620308552370827,0.5524441997975744
4,2022,[2023],0.2856,0.5123247945867568,0.4328097731239092,0.26609442060085836,0.4731775206836813,0.4874065830066077,0.5792953371004941
5,2023,[2024],0.1886,0.7407857432158769,0.4739057239057239,0.9740484429065744,0.7179168231653239,0.760629329603981,0.9059769551270909
6,2024,"[2025, 2026]",0.2352,0.907871864911845,0.7666411629686305,0.9382022471910112,0.8892305353981891,0.9105687642785303,0.975323174521203
