Metric,GRU_mean,GRU_std,LSTM_mean,LSTM_std,Diff (GRU-LSTM)
accuracy,0.788430976001592,0.1471783544653835,0.8012430353830388,0.1409892574773972,-0.012812059381446805
precision,0.6330292976539473,0.16998525514054327,0.6687283886428977,0.1210393973989166,-0.03569909098895041
recall,0.4110907821659622,0.37743593653653423,0.36869015019111995,0.3271228339428214,0.04240063197484223
f1_macro,0.636719165648761,0.15793768649452194,0.6462934486466437,0.16245130817663525,-0.009574282997882766
f1_weighted,0.7625401861009212,0.15968517127275836,0.7690702572148468,0.16379676993119618,-0.006530071113925562
auc_roc,0.7155057516835605,0.18125236679450513,0.7292624176560384,0.1799512622002386,-0.013756665972477933
