split,train_end,test_years,threshold,accuracy,precision,recall,f1_macro,f1_weighted,auc_roc
1,2019,[2020],0.5,0.9496779388083736,0.6976744186046512,0.2112676056338028,0.6490950494713823,0.9367341780235271,0.790786134398191
2,2020,[2021],0.5,0.8115768463073852,0.631578947368421,0.0975609756097561,0.5313778211819318,0.7513998744683617,0.4847788157464288
3,2021,[2022],0.5,0.712843295638126,0.7517241379310344,0.13903061224489796,0.5289635724829806,0.6368903912450181,0.7228645004100931
4,2022,[2023],0.288,0.5678913738019169,0.446985446985447,0.20853540252182348,0.4874474834429068,0.523290426526256,0.5608571486893406
5,2023,[2024],0.3134,0.8535714285714285,0.6964912280701754,0.6694772344013491,0.7937702139588565,0.852557848662741,0.8535710253948723
6,2024,"[2025, 2026]",0.3371,0.9118973291710024,0.7879161528976573,0.8862690707350902,0.8871065513418047,0.9135488243631771,0.9627168812973038
