split,train_end,test_years,threshold,accuracy,precision,recall,f1_macro,f1_weighted,auc_roc
1,2019,[2020],0.5,0.939443535188216,0.08333333333333333,0.11764705882352941,0.5331157968649967,0.9444335249570976,0.8009259259259258
2,2020,[2021],0.5,0.8168232280102476,0.5769230769230769,0.03464203233256351,0.4819105077928607,0.744433702185247,0.36639861988369177
3,2021,[2022],0.5,0.6128456735057984,0.379746835443038,0.0353356890459364,0.4102803421124084,0.49414300594650595,0.5993876500117955
4,2022,[2023],0.2425,0.5181246979217013,0.45467224546722457,0.3497854077253219,0.4974143356298337,0.5075229648437214,0.5112448616757448
5,2023,[2024],0.2493,0.5690562980963954,0.33356164383561643,0.842560553633218,0.5555114886129064,0.5967744465057622,0.8459475680650833
6,2024,"[2025, 2026]",0.2927,0.9577849515768562,0.884417808219178,0.9672284644194756,0.9473758571726386,0.9583661405441493,0.971583235555083
