Location_Name,Date,CHL,mlotst,no3,o2,po4,so,thetao,uo,vo
Gigantes Polygon,2019-01-01,1.3116429,15.411848023533821,0.0072315843,202.94763,0.03257145,34.365367563441396,27.709555339068174,-0.20203253254294395,0.19318216480314732
Gigantes Polygon,2019-01-02,0.95708054,18.31110656261444,0.0073850737,202.9467,0.034364775,34.36384163796902,27.61397136747837,-0.1785332802683115,0.18005920574069023
Gigantes Polygon,2019-01-03,0.80305266,15.030366636812687,0.0072939703,202.97495,0.035447225,34.36002682428807,27.66304513067007,-0.17883846536278725,0.15747550874948502
Gigantes Polygon,2019-01-04,0.8436176,17.777032621204853,0.0069101234,202.95801,0.036698714,34.341715718619525,27.541459389030933,-0.19867549650371075,0.15961180441081524
Gigantes Polygon,2019-01-05,0.8657492,16.937773570418358,0.006805291,203.05913,0.03823789,34.33408609125763,27.520950950682163,-0.17090365290641785,0.13733329251408577
Gigantes Polygon,2019-01-06,1.1395215,17.09036612510681,0.0065835915,203.31035,0.04002992,34.33332312852144,27.463820300996304,-0.1705984678119421,0.11597033590078354
Gigantes Polygon,2019-01-07,2.0901003,17.09036612510681,0.0065226257,203.57674,0.042056672,34.33256016578525,27.367503885179758,-0.1626636553555727,0.12054811231791973
Gigantes Polygon,2019-01-08,2.5293934,16.937773570418358,0.0064440994,203.82796,0.04408022,34.33408609125763,27.341868337243795,-0.16876735724508762,0.12268440797924995
Gigantes Polygon,2019-01-09,1.57433,16.63258846104145,0.006363565,204.0368,0.046171635,34.33332312852144,27.31513412296772,-0.17487105913460255,0.10681478306651115
Gigantes Polygon,2019-01-10,1.3909496,18.31110656261444,0.00643558,204.18463,0.04837109,34.32721942663193,27.235297702252865,-0.18829920329153538,0.13061922043561935
Gigantes Polygon,2019-01-11,1.5274053,16.937773570418358,0.0065064915,204.28824,0.05033985,34.32416757568717,27.21259193122387,-0.16449476592242718,0.13336588628590107
Gigantes Polygon,2019-01-12,1.4362215,15.717033132910728,0.0064408714,204.34691,0.05208031,34.3218786874786,27.20892971009016,-0.15320291742682457,0.10528885759413242
Gigantes Polygon,2019-01-13,1.392778,15.411848023533821,0.0062333923,204.32709,0.054160677,34.32035276200622,27.210394598543644,-0.17761772498488426,0.12024292722344398
Gigantes Polygon,2019-01-14,1.4850779,17.85332889854908,0.0060624112,204.24136,0.056570783,34.3218786874786,27.10235907509923,-0.1898251287639141,0.13916440308094025
Gigantes Polygon,2019-01-15,1.898914,16.708884738385677,0.0060649374,204.19489,0.058661856,34.32721942663193,27.06134219840169,-0.18799401819705963,0.15717032365500927
Gigantes Polygon,2019-01-16,1.922685,18.463699117302895,0.0060555427,204.23785,0.060221143,34.33484905399382,26.984801776707172,-0.16510513611137867,0.12359996326267719
Gigantes Polygon,2019-01-17,1.922215,17.09036612510681,0.0061307377,204.37755,0.061405536,34.343241644091904,26.964293338358402,-0.15320291742682457,0.10589922778308392
Gigantes Polygon,2019-01-18,1.304247,18.463699117302895,0.006116976,204.60658,0.06301137,34.3508712714538,26.907528910785913,-0.17334513366222382,0.10773033834993839
Gigantes Polygon,2019-01-19,1.311852,17.6244400665164,0.0062924116,204.83282,0.06533094,34.354686085134745,26.90203557908535,-0.15045625157654285,0.11383404023945332
Gigantes Polygon,2019-01-20,1.2825868,18.61629167199135,0.007329027,204.93388,0.067887455,34.331797203049064,26.833552043884993,-0.1269569993019104,0.06958220154047012
Gigantes Polygon,2019-01-21,1.1097883,17.929625175893307,0.008567037,205.19957,0.06947222,34.30433054454625,26.804620496928692,-0.06714072078466415,0.02288888208568096
Gigantes Polygon,2019-01-22,0.78291893,17.6244400665164,0.007835791,205.69449,0.06924924,34.29136017803103,26.79985960945487,-0.03357036039233208,-0.030518509447574615
Gigantes Polygon,2019-01-23,0.70572585,15.030366636812687,0.007222878,206.07999,0.069536075,34.27381203509867,26.830622266978025,-0.10986663401126862,0.02471999265253544
Gigantes Polygon,2019-01-24,0.8184109,13.580737367272377,0.0071088998,206.13518,0.07371906,34.23718982376158,26.888851583003998,-0.18738364800810814,0.11535996571183205
Gigantes Polygon,2019-01-25,0.8176872,18.61629167199135,0.0073187137,205.9653,0.08176175,34.279152774252,26.751518290489912,-0.1910458691418171,0.15289773233234882
Gigantes Polygon,2019-01-26,1.0512415,18.61629167199135,0.0077827782,205.98978,0.09001306,34.3218786874786,26.635425880551338,-0.19562364555895329,0.1428266242146492
Gigantes Polygon,2019-01-27,1.2647537,18.61629167199135,0.007570149,206.32509,0.09724949,34.35697497334331,26.52116458117962,-0.19531846046447754,0.15167699195444584
Gigantes Polygon,2019-01-28,1.5985212,18.234810285270214,0.00733901,206.71693,0.103434116,34.37604904174805,26.436933495104313,-0.17700735479593277,0.1428266242146492
Gigantes Polygon,2019-01-29,2.1254919,18.31110656261444,0.007319349,207.05788,0.10790891,34.39817496109754,26.35380107536912,-0.17273476347327232,0.13733329251408577
Gigantes Polygon,2019-01-30,1.8908275,16.022218242287636,0.0075023975,207.23315,0.11086554,34.40046384930611,26.368816182017326,-0.16144291497766972,0.14526810497045517
Gigantes Polygon,2019-01-31,2.215232,14.496292695403099,0.007527917,207.26283,0.11256239,34.39588607288897,26.42741172015667,-0.1620532851666212,0.14496291987597942
Gigantes Polygon,2019-02-01,1.2384934,17.16666240245104,0.007032031,207.22021,0.11354089,34.41114532761276,26.309854421764612,-0.15594958327710629,0.12329477816820145
Gigantes Polygon,2019-02-02,1.2384776,16.708884738385677,0.007010371,207.09334,0.11407779,34.42106384318322,26.2596819922328,-0.1831110566854477,0.15442365780472755
Gigantes Polygon,2019-02-03,1.0013348,14.72518152743578,0.0073992643,206.95782,0.11339105,34.41038236487657,26.2798242084682,-0.1303140353411436,0.11627552099525928
Gigantes Polygon,2019-02-04,0.7890673,14.038515031337738,0.0071526505,206.83154,0.11225296,34.412671253085136,26.328165527433157,-0.1547288428992033,0.10650959797203541
