mask_type,split_num,method,method_name,variable,rmse,mae,r2,missing_count
block_14day,,linear_interpolation,Linear Interpolation,CHL,0.5166927770174352,0.3539230252142857,0.3790648285565359,112
block_14day,,linear_interpolation,Linear Interpolation,mlotst,2.6368637899978205,1.289588744920634,0.43685892508511603,112
block_14day,,linear_interpolation,Linear Interpolation,no3,0.021325103555863634,0.010135362124047616,-0.2763522274488621,112
block_14day,,linear_interpolation,Linear Interpolation,o2,0.42989502500181137,0.3243198809523796,0.9769047991221474,112
block_14day,,linear_interpolation,Linear Interpolation,po4,0.0038964369870710413,0.0013160204920386906,0.9847485704805957,112
block_14day,,linear_interpolation,Linear Interpolation,so,0.19271205588715185,0.13798317327330414,0.9122194285658284,112
block_14day,,linear_interpolation,Linear Interpolation,thetao,0.22904666245781496,0.17718784998038015,0.951979023331754,112
block_14day,,linear_interpolation,Linear Interpolation,uo,0.04592313188342129,0.03499655573562318,0.8066864384595775,112
block_14day,,linear_interpolation,Linear Interpolation,vo,0.03895411204752709,0.028534261360099254,0.6054462477986775,112
block_14day,,linear_interpolation,Linear Interpolation,NDVI_daily,0.0801950325242035,0.03224848774284743,0.7943510174958379,112
block_14day,,linear_interpolation,Linear Interpolation,NDVI_raw,0.05194917179032372,0.0379195962812553,0.3052116198381315,112
block_14day,,linear_interpolation,Linear Interpolation,precip_mm_day,8.602107980537717,6.19104609928632,-0.4746485610077258,112
block_14day,,linear_interpolation,Linear Interpolation,wind_speed_ms,1.5101566790989733,1.2156538338996996,0.41256883631014185,112
block_14day,,linear_interpolation,Linear Interpolation,wind_u_ms,1.933736466157471,1.4327252587767734,0.3491771926570947,112
block_14day,,linear_interpolation,Linear Interpolation,wind_v_ms,2.3300168935182386,1.4865487521068055,0.21459841497292909,112
block_14day,,climatological,Climatological Substitution,CHL,0.6009038724259406,0.4646476875334821,0.1601698056637364,112
block_14day,,climatological,Climatological Substitution,mlotst,2.9880049165938565,2.422917718250704,0.2768898990685994,112
block_14day,,climatological,Climatological Substitution,no3,0.020867120260846153,0.012966996334821429,-0.22211839480265105,112
block_14day,,climatological,Climatological Substitution,o2,1.302437290023956,1.0312851116071413,0.7880123553535969,112
block_14day,,climatological,Climatological Substitution,po4,0.01729688974091949,0.00858143048120424,0.6994537789966138,112
block_14day,,climatological,Climatological Substitution,so,0.5140921599128973,0.4116899239306803,0.375312816003342,112
block_14day,,climatological,Climatological Substitution,thetao,0.4666290686595759,0.37800293923438794,0.8006911275175764,112
block_14day,,climatological,Climatological Substitution,uo,0.05707715473136573,0.04931600386044009,0.7013765172125526,112
block_14day,,climatological,Climatological Substitution,vo,0.053769882927743734,0.04595079322046198,0.248242548772294,112
block_14day,,climatological,Climatological Substitution,NDVI_daily,0.1633334690361011,0.10502752711506617,0.14693524008618553,112
block_14day,,climatological,Climatological Substitution,NDVI_raw,0.05902854624122678,0.03492449616485016,0.10294418585638887,112
block_14day,,climatological,Climatological Substitution,precip_mm_day,5.965877495155477,4.113767402938355,0.2907041578536037,112
block_14day,,climatological,Climatological Substitution,wind_speed_ms,1.4324178603692153,1.179780191420411,0.4714909580301555,112
block_14day,,climatological,Climatological Substitution,wind_u_ms,1.7875543094566828,1.4484086684070672,0.4438567373807587,112
block_14day,,climatological,Climatological Substitution,wind_v_ms,2.0300787010447707,1.4283966170508628,0.40378982539340325,112
block_7day,,linear_interpolation,Linear Interpolation,CHL,0.6194707724112729,0.36506805149553573,0.33278914316246033,112
block_7day,,linear_interpolation,Linear Interpolation,mlotst,1.199068448435713,0.6442607526634155,0.7420764576054686,112
block_7day,,linear_interpolation,Linear Interpolation,no3,0.012941089606772784,0.007171325572991071,0.9014612456607055,112
block_7day,,linear_interpolation,Linear Interpolation,o2,0.5763254698040541,0.3504192857142832,0.9627171517075747,112
block_7day,,linear_interpolation,Linear Interpolation,po4,0.0012981432424926103,0.0005463414909062499,0.9985388291310706,112
block_7day,,linear_interpolation,Linear Interpolation,so,0.14826278138552146,0.09868786749263687,0.9487934833320124,112
block_7day,,linear_interpolation,Linear Interpolation,thetao,0.2668091958797891,0.21229029404431912,0.8969201944537055,112
block_7day,,linear_interpolation,Linear Interpolation,uo,0.050435678736907574,0.03883616570549616,0.7111390032489953,112
block_7day,,linear_interpolation,Linear Interpolation,vo,0.032096511882737745,0.022187955486255552,0.6363110505419567,112
block_7day,,linear_interpolation,Linear Interpolation,NDVI_daily,0.008267759266804845,0.00332438133800385,0.9924405357684261,112
block_7day,,linear_interpolation,Linear Interpolation,NDVI_raw,0.038063571771381234,0.022874323487983805,-0.9173629756764239,112
block_7day,,linear_interpolation,Linear Interpolation,precip_mm_day,11.720664586650175,7.402876467673778,-0.12754556569052267,112
block_7day,,linear_interpolation,Linear Interpolation,wind_speed_ms,1.0460431474624128,0.8548443265212055,0.6509483741205881,112
block_7day,,linear_interpolation,Linear Interpolation,wind_u_ms,1.50494852983375,1.1520964890234513,0.3784757362532273,112
block_7day,,linear_interpolation,Linear Interpolation,wind_v_ms,1.87479582567859,1.1939237632978645,0.23253274769411147,112
block_7day,,climatological,Climatological Substitution,CHL,0.6934752641799055,0.47697473020089287,0.16385150414093141,112
block_7day,,climatological,Climatological Substitution,mlotst,2.4642098094482963,2.242735884701168,-0.08932732638135032,112
block_7day,,climatological,Climatological Substitution,no3,0.02304279418306908,0.015607228683928569,0.6875822785057251,112
block_7day,,climatological,Climatological Substitution,o2,2.1376355819691764,1.7429750892857148,0.4870904356576924,112
block_7day,,climatological,Climatological Substitution,po4,0.02698478121404669,0.015149471600026785,0.36861599763926,112
block_7day,,climatological,Climatological Substitution,so,0.5946031925381375,0.4928049543845451,0.17640173901204614,112
block_7day,,climatological,Climatological Substitution,thetao,0.4810209163622231,0.3889287018599656,0.664957480898146,112
block_7day,,climatological,Climatological Substitution,uo,0.06541488675505565,0.05414787411739648,0.5140782329828594,112
block_7day,,climatological,Climatological Substitution,vo,0.057154024870594004,0.047522700822030695,-0.15320912207314863,112
block_7day,,climatological,Climatological Substitution,NDVI_daily,0.11668371869003652,0.0792729386873183,-0.5056911373264434,112
block_7day,,climatological,Climatological Substitution,NDVI_raw,0.048334718789114474,0.03978047340160103,-2.0917448909806944,112
block_7day,,climatological,Climatological Substitution,precip_mm_day,8.88559480332498,6.2019254307128655,0.351958773239453,112
block_7day,,climatological,Climatological Substitution,wind_speed_ms,1.3861174645441356,1.0621115159798578,0.3870987053855617,112
block_7day,,climatological,Climatological Substitution,wind_u_ms,1.4135211529062195,1.1551936842327757,0.4516985207018962,112
block_7day,,climatological,Climatological Substitution,wind_v_ms,1.4170579634410037,1.107401335954265,0.5615428792900052,112
cross_variable,,linear_interpolation,Linear Interpolation,CHL,0.7422168998471872,0.5197420985979211,-1.303937044218305,152
cross_variable,,linear_interpolation,Linear Interpolation,mlotst,,,,0
cross_variable,,linear_interpolation,Linear Interpolation,no3,,,,0
cross_variable,,linear_interpolation,Linear Interpolation,o2,,,,0
cross_variable,,linear_interpolation,Linear Interpolation,po4,,,,0
cross_variable,,linear_interpolation,Linear Interpolation,so,,,,0
cross_variable,,linear_interpolation,Linear Interpolation,thetao,,,,0
cross_variable,,linear_interpolation,Linear Interpolation,uo,,,,0
cross_variable,,linear_interpolation,Linear Interpolation,vo,,,,0
