split,train_end,test_years,accuracy,precision,recall,f1,auc,best_params
1,2019,[2020],0.5376432078559739,0.056020066889632104,0.9852941176470589,0.1060126582278481,0.7712542087542088,"{'subsample': 0.8, 'scale_pos_weight': 20, 'n_estimators': 50, 'min_child_weight': 7, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}"
2,2020,[2021],0.6473099914602903,0.23624161073825503,0.4064665127020785,0.298811544991511,0.6208230854938984,"{'subsample': 0.9, 'scale_pos_weight': 20, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.7}"
3,2021,[2022],0.46342551293487955,0.38978829389788294,0.7373380447585395,0.509979633401222,0.5753650466703364,"{'subsample': 0.9, 'scale_pos_weight': 20, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.7}"
4,2022,[2023],0.4707588206863219,0.45577862181226264,0.9012875536480687,0.6054054054054054,0.5319463160715836,"{'subsample': 0.6, 'scale_pos_weight': 50, 'n_estimators': 50, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.6}"
5,2023,[2024],0.30741190765492105,0.2526223776223776,1.0,0.4033496161898116,0.8943726338017086,"{'subsample': 0.6, 'scale_pos_weight': 50, 'n_estimators': 50, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.6}"
6,2024,"[2025, 2026]",0.2945120437049913,0.27321565617805066,1.0,0.42917420132610007,0.978631655091494,"{'subsample': 0.6, 'scale_pos_weight': 50, 'n_estimators': 50, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.6}"
