rank,model,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_splits,notes
1,Ensemble (weighted_avg),0.8615,0.0997,0.7774,0.1385,0.9038,0.1444,0.1173,0.047,0.2022,0.063,4,Best ensemble strategy by AUC across 4 common splits
2,XGBoost (Hybrid: Gap-Type Adaptive),0.7942,0.1427,,,,,,,0.1863,0.2425,4,Task 4 downstream XGBoost evaluation (best imputation method)
3,Transformer,0.7758,0.0959,0.6967,0.1085,0.3453,0.472,0.3141,0.4474,0.2534,0.2942,4,native_masking scenario (best per transformer_summary.csv)
4,LSTM,0.6497,0.1954,0.7559,0.1624,0.6435,0.1363,0.1216,0.0609,0.5185,0.0516,4,Splits 1-4 of 6 rolling-origin yearly splits
5,GRU,0.6182,0.1219,0.7532,0.1699,0.621,0.2012,0.1752,0.0952,0.5415,0.044,4,Splits 1-4 of 6 rolling-origin yearly splits
