rank_auc,scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,n_splits
<<<<<<< Updated upstream
1,native_masking,0.696741,0.108455,0.345269,0.472008,0.314053,0.447407,0.253442,0.294198,0.775758,0.095874,4
2,hybrid_adaptive,0.713855,0.203073,0.299055,0.387153,0.264358,0.397613,0.217263,0.261977,0.663447,0.202247,4
=======
1,hybrid_adaptive,0.780219,0.044423,0.449024,0.307949,0.289984,0.281742,0.329894,0.284705,0.788915,0.122344,6
2,native_masking,0.749208,0.021277,0.196237,0.400106,0.018578,0.028822,0.031985,0.050333,0.759714,0.1163,6
>>>>>>> Stashed changes
1,hybrid_adaptive,0.800013,0.053717,0.605389,0.220477,0.42084,0.370034,0.42716,0.311042,0.864549,0.105311,6
2,native_masking,0.774281,0.078879,0.381921,0.416266,0.210555,0.295029,0.252819,0.338775,0.78676,0.187013,6
