split,train_end,test_years,threshold,accuracy,precision,recall,f1_macro,f1_weighted,auc_roc
1,2019,[2020],0.5,0.9428341384863124,0.5,0.15492957746478872,0.6034322256850285,0.9283600795417842,0.7140159488098531
2,2020,[2021],0.5,0.8207584830339322,0.8771929824561403,0.1016260162601626,0.5407496420097432,0.758486578204933,0.46738728750923875
3,2021,[2022],0.5,0.7051696284329564,0.68,0.13010204081632654,0.5183664942448489,0.6283647081506866,0.7204627418343224
4,2022,[2023],0.2464,0.5439297124600639,0.4268774703557312,0.3142580019398642,0.503566183236057,0.5285531298985375,0.5710546052679232
5,2023,[2024],0.2998,0.8007936507936508,0.5538461538461539,0.7892074198988196,0.7557685075282701,0.8112800982085085,0.8548027454010683
6,2024,"[2025, 2026]",0.3044,0.9171002428026361,0.7602591792656588,0.9764216366158114,0.8984319411886186,0.9201965226010776,0.9653111812789565
