method_key,method_name,split_num,cutoff_date,test_start,test_end,n_train,n_test,rmse,mae,r2,f1,auc
linear_interpolation,Linear Interpolation,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.3093692728958042,0.22917831138406541,0.1512326076217252,0.0,0.6554185593770279
linear_interpolation,Linear Interpolation,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.278249860122021,0.18238112966551373,-0.029169249811254128,0.0,0.7399309551208286
linear_interpolation,Linear Interpolation,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.2603987242963201,0.18349697995046912,-0.20257199375015378,0.0,0.24470588235294116
linear_interpolation,Linear Interpolation,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.36078990743288625,0.25557217287967593,-0.17854455554062199,0.0,0.744815668202765
climatological,Climatological Substitution,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.35000650998952226,0.2996204656934577,-0.08639204712126158,0.4262295081967213,0.6885139519792343
climatological,Climatological Substitution,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.2779673038516,0.2238660984521298,-0.02708011614333783,0.0,0.7019562715765247
climatological,Climatological Substitution,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.4965421088200967,0.3918120591425086,-3.372658388639179,0.2222222222222222,0.7270588235294118
climatological,Climatological Substitution,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.5001152999885102,0.42589991033853836,-1.2645271270325664,0.5137614678899083,0.667626728110599
cross_location_regression,Cross-Location Regression,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.3555842390530693,0.2542735785241123,-0.12129359001970674,0.0,0.44776119402985076
cross_location_regression,Cross-Location Regression,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.2966786570911082,0.19657007274946933,-0.1700098050121508,0.0,0.49367088607594933
cross_location_regression,Cross-Location Regression,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.25551622013735265,0.17912486499516972,-0.1578980687206346,0.0,0.3411764705882353
cross_location_regression,Cross-Location Regression,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.3453603425225212,0.30024376253115,-0.07989661060553899,0.0,0.5092165898617511
cross_location_knn,Cross-Location KNN,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.3539198554780187,0.25369222822616744,-0.11082127589172597,0.0,0.4328358208955224
cross_location_knn,Cross-Location KNN,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.29863143038423373,0.19735984952504135,-0.18546277498811925,0.0,0.49367088607594933
cross_location_knn,Cross-Location KNN,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.2537717654296472,0.17759213581700814,-0.1421416864053402,0.0,0.1647058823529412
cross_location_knn,Cross-Location KNN,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.3441277564253118,0.29707664456460403,-0.07220209500454122,0.0,0.4723502304147465
distance_weighted,Distance-Weighted Average,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.35398801506382266,0.2536846736685791,-0.11124917168504211,0.0,0.4328358208955224
distance_weighted,Distance-Weighted Average,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.29736427196396964,0.1962743714576433,-0.1754237638944447,0.0,0.5189873417721519
distance_weighted,Distance-Weighted Average,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.25486072699405316,0.1782158219744975,-0.151964819594673,0.0,0.32941176470588235
distance_weighted,Distance-Weighted Average,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.3433717849851613,0.29660925606714544,-0.06749649457566242,0.0,0.467741935483871
advection,Advection-Based,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.3547441748908381,0.25337828563271586,-0.11600175886856867,0.0,0.3955223880597015
advection,Advection-Based,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.29771946745567285,0.19765173015913728,-0.17823347986809934,0.0,0.5126582278481013
advection,Advection-Based,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.25482573305435635,0.17862327762795513,-0.15164849765384347,0.0,0.3411764705882353
advection,Advection-Based,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.3435614673864159,0.29706480310850863,-0.06867621425471881,0.0,0.46716589861751157
eof_pca,EOF/PCA Spatial Modes,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.3555842390530693,0.2542735785241123,-0.12129359001970674,0.0,0.44776119402985076
eof_pca,EOF/PCA Spatial Modes,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.2966786570911082,0.19657007274946933,-0.1700098050121508,0.0,0.49367088607594933
eof_pca,EOF/PCA Spatial Modes,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.25551622013735265,0.17912486499516972,-0.1578980687206346,0.0,0.3411764705882353
eof_pca,EOF/PCA Spatial Modes,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.3453603425225212,0.30024376253115,-0.07989661060553899,0.0,0.5092165898617511
kriging,Spatial Kriging,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.3555436697283093,0.2548483841567925,-0.12103774331010109,0.0,0.3880597014925373
kriging,Spatial Kriging,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.3032634688061023,0.20141883041877576,-0.2225231413489419,0.0,0.3291139240506329
kriging,Spatial Kriging,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.25271905676905726,0.17723659874683975,-0.1326855624389911,0.0,0.32941176470588235
kriging,Spatial Kriging,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.34728574695642306,0.30279820170495436,-0.09197115074480533,0.0,0.5535714285714286
hybrid_sequential,Hybrid: Sequential Temporal→Spatial,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.3101942808965053,0.22838942473728097,0.1466996844751728,0.0,0.6726151849448411
hybrid_sequential,Hybrid: Sequential Temporal→Spatial,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.28024520548367166,0.1831610047850409,-0.04398263474775477,0.0,0.7353279631760645
hybrid_sequential,Hybrid: Sequential Temporal→Spatial,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.26087762910247503,0.1836678088492169,-0.2069994125107626,0.0,0.24941176470588233
