split_num,train_end,test_start,test_end,n_train,n_test,positive_rate,source,name,accuracy,precision,recall,f1,auc
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,lstm,0.929549114331723,0.2962962962962963,0.16901408450704225,0.21524663677130046,0.924339375278142
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,gru,0.9335748792270532,0.31746031746031744,0.14084507042253522,0.1951219512195122,0.9203642005749271
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,transformer,0.9428341384863124,0.0,0.0,0.0,0.5463459664906605
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,xgboost,0.9219001610305958,0.19767441860465115,0.11971830985915492,0.14912280701754385,0.7743291516820823
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,ensemble,soft_vote,0.9476650563607085,1.0,0.08450704225352113,0.15584415584415584,0.9139443836374352
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,ensemble,weighted_avg,0.9488727858293076,1.0,0.1056338028169014,0.1910828025477707,0.915450860586233
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,ensemble,stacked,0.784621578099839,0.20974889217134415,1.0,0.34676434676434675,0.9290091531254135
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,lstm,0.8654690618762475,0.9015544041450777,0.35365853658536583,0.5080291970802919,0.9767032580907031
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,gru,0.8211576846307386,0.7291666666666666,0.14227642276422764,0.23809523809523808,0.958602417618811
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,transformer,0.8027944111776447,0.0,0.0,0.0,0.5024172149322089
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,xgboost,0.8167664670658683,0.6037735849056604,0.1951219512195122,0.29493087557603687,0.5786049216676966
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,ensemble,soft_vote,0.8187624750499002,0.9318181818181818,0.08333333333333333,0.15298507462686567,0.9420645883060917
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,ensemble,weighted_avg,0.8211576846307386,0.94,0.09552845528455285,0.17343173431734318,0.9598544420615591
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,ensemble,stacked,0.8343313373253493,0.5424476295479603,1.0,0.7033595425303788,0.9761045076918727
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,model,lstm,0.7552504038772213,0.989010989010989,0.22959183673469388,0.37267080745341613,0.8733453044338304
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,model,gru,0.7423263327948304,0.95625,0.1951530612244898,0.3241525423728814,0.8852922818063395
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,model,transformer,0.6833602584814217,0.0,0.0,0.0,0.4135359374246152
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,model,xgboost,0.7116316639741519,0.8240740740740741,0.11352040816326531,0.19955156950672645,0.6311566736623727
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,ensemble,soft_vote,0.7011308562197092,0.9782608695652174,0.05739795918367347,0.10843373493975904,0.7909361883051094
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,ensemble,weighted_avg,0.7088045234248789,0.9846153846153847,0.08163265306122448,0.15076560659599528,0.838298173879481
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,ensemble,stacked,0.8121970920840065,0.7321688500727802,0.6415816326530612,0.6838885112168592,0.8714033929174507
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,model,lstm,0.6226038338658147,0.715,0.13870029097963144,0.2323314378554021,0.7511205580171505
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,model,gru,0.6146166134185304,0.775,0.09020368574199807,0.16159860990443092,0.7351525651181335
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,model,transformer,0.6042332268370607,0.5313479623824452,0.3288069835111542,0.40623127621330135,0.5605555676275776
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,model,xgboost,0.6297923322683706,0.6984732824427481,0.17749757516973813,0.28306264501160094,0.6797518606827189
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,ensemble,soft_vote,0.634185303514377,0.6885245901639344,0.20368574199806014,0.3143712574850299,0.7264264685450293
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,ensemble,weighted_avg,0.630591054313099,0.6906474820143885,0.18622696411251213,0.293353705118411,0.7323138839887453
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,ensemble,stacked,0.5902555910543131,1.0,0.004849660523763337,0.009652509652509652,0.6147914316737815
