rank_auc,source,name,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,n_splits
1,model,lstm,0.793218,0.134607,0.725465,0.30809,0.222741,0.095107,0.33207,0.136877,0.881377,0.096547,4
2,model,gru,0.777919,0.134205,0.694469,0.269786,0.14212,0.042854,0.229742,0.070297,0.874853,0.097827,4
3,ensemble,weighted_avg,0.777357,0.138535,0.903816,0.144372,0.117255,0.047022,0.202158,0.062997,0.861479,0.099686,4
4,ensemble,stacked,0.755351,0.111927,0.621091,0.332314,0.661608,0.469308,0.435916,0.327956,0.847827,0.161149,4
5,ensemble,soft_vote,0.775436,0.137856,0.899651,0.143595,0.107231,0.065509,0.182909,0.09029,0.843343,0.101893,4
6,model,xgboost,0.770023,0.12692,0.580999,0.271012,0.151465,0.040952,0.231667,0.069495,0.665961,0.083219,4
7,model,transformer,0.758306,0.147631,0.132837,0.265674,0.082202,0.164403,0.101558,0.203116,0.505714,0.066248,4
